Timestamp,מה גילך?,מהו מגדרך?,מהי רמת ההשכלה שלך (שהשלמת או שבמהלכה)?,האם את.ה לומד.ת כרגע (תלמיד.ה או סטודנט.ית)?,מטריה,"אם ענית ""כן"",
מהו/היה תחום הלימודים או התואר שלך? (תשובה קצרה)",אני אוהב.ת ללמוד דברים חדשים,אני מרגיש.ה רגוע.ה,אני מרגיש.ה אופטימיות לגבי העתיד,יש לי אנרגיה עודפת,אני מתעניין.ת באנשים אחרים,אני חושב.ת בצורה צלולה,אני מרגיש.ה טוב עם עצמי,אני מרגיש.ה מאושר.ת,אני מתעניין.ת בדברים חדשים,אני מרגיש.ה בטוח.ה בעצמי,אני מסוגל.ת לקבל החלטות בעצמי,האם ההשכלה האקדמית שלך תורמת לתחושת הערך העצמי שלך?,האם הביצועים שלך בבית הספר גרמו לך אי פעם להרגיש חרדה או דיכאון?,"האם את.ה מרגיש.ה לחץ להשיג סטנדרטים אקדמיים מסוימים (למשל ציונים, דירוגים)?",האם חוויותיך הלימודיות השפיעו על בריאותך הנפשית?
6/16/2025 16:56:10,22,נקבה,יש בגרות,כן,,הנדסת תעשייה וניהול ,4,3,4,3,4,2,4,4,3,3,4,"כן, באופן חלקי","כן, לעיתים תכופות","כן, גם מעצמי ומאחרים",אני לא בטוח.ה
6/16/2025 18:12:21,21,נקבה,תואר ראשון,כן,,פסיכולוגיה,4,3,2,3,5,5,4,4,4,4,4,"כן, באופן חלקי","כן, לפעמים","כן, מעצמי","כן, לרעה"
6/17/2025 15:59:17,22,נקבה,תואר ראשון,כן,,מדעי המחשב,4,2,1,3,4,4,2,3,4,3,4,לא,בכלל לא,"כן, גם מעצמי ומאחרים",אני לא בטוח.ה
6/17/2025 16:05:48,22,זכר,יש בגרות,לא,,,5,2,2,4,5,4,4,3,5,4,4,"כן, באופן חלקי","כן, לפעמים","כן, מעצמי","כן, לרעה"
6/17/2025 16:14:04,22,נקבה,יש בגרות,לא,,,5,3,3,2,4,4,3,4,5,3,4,לא,"כן, לעיתים רחוקות","כן, גם מעצמי ומאחרים",אני לא בטוח.ה
6/18/2025 13:02:19,20,נקבה,אין בגרות,לא,,,5,4,4,3,5,5,4,4,5,4,5,לא,"כן, לעיתים רחוקות",לא מרגיש לחץ משמעותי,"כן, לרעה"
6/18/2025 13:05:34,18,זכר,יש בגרות,לא,,,5,4,5,3,5,4,4,5,5,5,5,"כן, באופן חלקי","כן, לעיתים רחוקות","כן, מעצמי",אני לא בטוח.ה
6/18/2025 13:05:47,18,זכר,תואר ראשון,כן,,מתמטיקה ומדמח,1,1,1,1,5,2,5,2,3,5,3,לא,בכלל לא,"כן, מעצמי","כן, לרעה"
6/18/2025 13:15:56,22,זכר,יש בגרות,לא,,,5,5,4,4,5,4,4,5,5,5,5,לא,"כן, לעיתים רחוקות","כן, מעצמי","כן, לחיוב"
6/18/2025 13:16:46,22,זכר,יש בגרות,לא,,,5,5,2,4,4,5,4,1,5,1,5,"כן, היא גורם מרכזי","כן, לפעמים","כן, גם מעצמי ומאחרים","כן, לרעה"
6/18/2025 13:17:23,23,זכר,תואר שני ומעלה,לא,,,5,4,5,5,5,5,4,5,5,5,4,"כן, היא גורם מרכזי",בכלל לא,"כן, גם מעצמי ומאחרים","כן, לחיוב"
6/18/2025 13:17:51,17,אחר \ מעדיפ.ה לא לומר,אין בגרות,כן,,,5,2,1,3,2,1,1,2,4,2,3,"כן, באופן חלקי","כן, לעיתים תכופות","כן, מעצמי","כן, לרעה"
6/18/2025 13:20:39,17,זכר,אין בגרות,לא,,,4,2,1,5,2,2,1,3,4,2,3,לא,"כן, לפעמים","כן, מאחרים (משפחה, מורים וכו')",אני לא בטוח.ה
6/18/2025 13:21:59,22,זכר,לימודי עתודה,לא,,,5,2,4,2,1,4,3,4,5,5,5,לא,בכלל לא,לא מרגיש לחץ משמעותי,לא השפיע
6/18/2025 13:23:51,25,זכר,השכלה על תיכונית שאינה אקדמאית,לא,,,5,1,1,1,2,1,1,1,5,3,2,"כן, באופן חלקי","כן, לפעמים","כן, מאחרים (משפחה, מורים וכו')","כן, לרעה"
6/18/2025 13:28:12,24,נקבה,תואר ראשון,כן,,פסיכולוגיה,5,5,5,4,5,4,4,5,5,4,4,"כן, באופן חלקי",בכלל לא,"כן, גם מעצמי ומאחרים","כן, לחיוב"
6/18/2025 13:30:32,25,נקבה,תואר ראשון,כן,,מדעי המחשב,5,3,4,2,4,4,4,4,5,4,5,"כן, באופן חלקי","כן, לעיתים תכופות","כן, גם מעצמי ומאחרים","כן, לרעה"
6/18/2025 13:48:11,19,זכר,יש בגרות,כן,,מכטרוניקה,3,3,3,2,3,4,4,3,3,4,4,לא,"כן, לעיתים רחוקות","כן, גם מעצמי ומאחרים",לא השפיע
6/18/2025 13:50:00,18,זכר,יש בגרות,לא,,,4,4,4,3,4,4,5,4,4,4,3,"כן, באופן חלקי","כן, לעיתים רחוקות",לא מרגיש לחץ משמעותי,אני לא בטוח.ה
6/18/2025 13:51:03,25,נקבה,תואר שני ומעלה,כן,,חקלאות ויערנות,5,2,3,2,4,4,4,4,5,4,5,"כן, באופן חלקי","כן, לפעמים","כן, גם מעצמי ומאחרים",אני לא בטוח.ה
6/18/2025 13:51:34,22,זכר,תואר ראשון,כן,,הנדסת חשמל ,5,3,2,3,3,2,4,2,4,3,4,"כן, באופן חלקי","כן, לפעמים","כן, גם מעצמי ומאחרים","כן, לרעה"
6/18/2025 13:52:06,23,זכר,תואר ראשון,כן,,מדמח,5,4,4,3,4,5,5,5,5,5,5,"כן, באופן חלקי","כן, לעיתים רחוקות",לא מרגיש לחץ משמעותי,לא השפיע
6/18/2025 13:53:40,24,זכר,תואר ראשון,כן,,מדעי החברה,4,4,5,2,2,3,4,5,3,4,4,"כן, באופן חלקי",בכלל לא,לא מרגיש לחץ משמעותי,אני לא בטוח.ה
6/18/2025 13:54:08,6,נקבה,תואר שני ומעלה,לא,,,5,2,4,2,5,1,4,1,4,2,2,לא,"כן, לעיתים תכופות","כן, גם מעצמי ומאחרים","כן, לרעה"
6/18/2025 13:54:24,23,זכר,יש בגרות,לא,,,4,3,4,2,5,4,4,3,4,3,4,"כן, היא גורם מרכזי","כן, לפעמים","כן, מעצמי","כן, לחיוב"
6/18/2025 13:56:27,23,זכר,תואר ראשון,כן,,מתמטיקה ,5,3,3,2,4,4,3,2,5,2,3,"כן, באופן חלקי",בכלל לא,"כן, גם מעצמי ומאחרים","כן, לרעה"
6/18/2025 14:00:52,17,זכר,יש בגרות,כן,,תיכון,4,4,5,2,3,4,4,4,4,4,3,,"כן, לעיתים רחוקות","כן, מעצמי","כן, לחיוב"
6/18/2025 14:02:24,24,זכר,השכלה על תיכונית שאינה אקדמאית,לא,,,5,4,3,4,3,5,3,3,5,3,5,לא,בכלל לא,"כן, גם מעצמי ומאחרים",אני לא בטוח.ה
6/18/2025 14:07:42,25,זכר,יש בגרות,לא,,,5,5,5,4,3,5,5,5,5,5,5,,"כן, לפעמים",לא מרגיש לחץ משמעותי,לא השפיע
6/18/2025 14:12:17,25,זכר,תואר שני ומעלה,כן,,הנדסה,5,5,3,2,2,4,3,2,5,2,5,לא,בכלל לא,"כן, מעצמי",לא השפיע
6/18/2025 14:23:37,23,זכר,יש בגרות,לא,,,5,3,4,3,4,3,4,4,4,3,3,"כן, באופן חלקי","כן, לפעמים","כן, מעצמי","כן, לרעה"
6/18/2025 14:28:56,17,נקבה,יש בגרות,כן,,"PPLE. Philosophy, Politics, Law and Economics",5,5,5,5,5,5,5,5,5,5,5,"כן, באופן חלקי","כן, לעיתים תכופות","כן, גם מעצמי ומאחרים","כן, לרעה"
6/18/2025 14:29:37,23,זכר,השכלה על תיכונית שאינה אקדמאית,לא,,,5,2,3,3,4,2,2,1,5,3,5,,בכלל לא,"כן, מעצמי",אני לא בטוח.ה
6/18/2025 14:31:00,24,נקבה,יש בגרות,כן,,סטטיסטיקה וכלכלה,4,2,4,4,4,4,4,3,4,4,5,"כן, באופן חלקי","כן, לעיתים רחוקות","כן, מעצמי",אני לא בטוח.ה
6/18/2025 14:31:31,43,נקבה,תואר שני ומעלה,לא,,,5,4,5,4,4,4,5,5,5,4,5,"כן, באופן חלקי","כן, לפעמים","כן, מעצמי",אני לא בטוח.ה
6/18/2025 14:32:19,169,זכר,,כן,,Mid lane ,3,5,3,3,2,3,3,2,3,3,5,לא,בכלל לא,"כן, מאחרים (משפחה, מורים וכו')",אני לא בטוח.ה
6/18/2025 14:32:54,24,אחר \ מעדיפ.ה לא לומר,תואר ראשון,כן,,ספרות אנגלית ,5,2,4,2,4,4,3,2,4,4,5,"כן, באופן חלקי","כן, לפעמים","כן, מעצמי","כן, לרעה"
6/18/2025 14:33:54,21,נקבה,תואר ראשון,כן,,חשבונאות וניהול,4,3,4,2,4,5,4,4,4,3,5,"כן, באופן חלקי",בכלל לא,"כן, גם מעצמי ומאחרים",אני לא בטוח.ה
6/18/2025 14:34:53,26,נקבה,תואר שני ומעלה,כן,,מדעי המוח,4,2,3,1,4,4,3,2,4,3,4,"כן, באופן חלקי","כן, לפעמים","כן, מעצמי","כן, לרעה"
6/18/2025 14:41:27,24,נקבה,תואר ראשון,כן,,ניהול תקשורת ,4,3,3,2,5,5,3,5,5,3,4,"כן, באופן חלקי","כן, לפעמים","כן, גם מעצמי ומאחרים",אני לא בטוח.ה
6/18/2025 14:45:25,18,זכר,יש בגרות,כן,,פיזיקה וסוציוכלכלה,4,5,2,2,1,2,4,3,4,4,3,"כן, באופן חלקי",בכלל לא,"כן, גם מעצמי ומאחרים",אני לא בטוח.ה
6/18/2025 14:48:35,21,זכר,תואר ראשון,כן,,רפואה,5,4,3,2,4,4,4,3,4,4,4,"כן, באופן חלקי","כן, לעיתים רחוקות","כן, מעצמי",אני לא בטוח.ה
6/18/2025 14:49:47,24,נקבה,תואר ראשון,כן,,פסיכולוגיה וחינוך,5,4,4,4,5,4,4,4,4,4,5,"כן, באופן חלקי","כן, לעיתים רחוקות","כן, גם מעצמי ומאחרים","כן, לחיוב"
6/18/2025 14:55:53,19,זכר,תואר ראשון,כן,,מדעי מחשב,4,4,4,3,4,4,4,4,4,4,4,"כן, באופן חלקי","כן, לעיתים רחוקות","כן, גם מעצמי ומאחרים",אני לא בטוח.ה
6/18/2025 14:56:33,29,זכר,תואר ראשון,כן,,מדעי המחשב,4,3,1,2,3,3,2,2,4,2,4,"כן, באופן חלקי","כן, לפעמים","כן, מעצמי",אני לא בטוח.ה
6/18/2025 15:01:51,23,זכר,השכלה על תיכונית שאינה אקדמאית,לא,,,5,2,3,2,3,3,3,3,4,2,3,אני לא בטוח.ה,"כן, לעיתים תכופות","כן, מאחרים (משפחה, מורים וכו')","כן, לרעה"
6/18/2025 15:02:03,חמש,אחר \ מעדיפ.ה לא לומר,,לא,,,1,1,1,5,5,1,5,1,5,5,1,אני לא בטוח.ה,בכלל לא,לא מרגיש לחץ משמעותי,לא השפיע
6/18/2025 15:12:22,22,זכר,יש בגרות,כן,,צבא וביטחון במסגרת המלטק,4,4,5,2,4,5,5,4,4,4,5,"כן, באופן חלקי",בכלל לא,"כן, מעצמי",לא השפיע
6/18/2025 15:16:08,26,זכר,יש בגרות,כן,,מדעי המדינה,4,3,3,4,5,3,3,3,5,3,4,"כן, באופן חלקי","כן, לפעמים","כן, גם מעצמי ומאחרים","כן, לחיוב"
6/18/2025 15:25:13,21,זכר,תואר ראשון,כן,,מדעי המחשב,5,1,2,3,3,4,3,2,4,3,4,לא,"כן, לעיתים רחוקות","כן, מעצמי",אני לא בטוח.ה
6/18/2025 15:27:27,22,נקבה,תואר ראשון,כן,,פסיכולוגיה ולימודי מגדר,5,2,5,1,5,4,4,4,5,5,5,"כן, היא גורם מרכזי","כן, לעיתים תכופות","כן, מעצמי","כן, לחיוב"
6/18/2025 15:30:47,16,נקבה,תואר ראשון,כן,,מתמטיקה,5,2,2,4,2,4,2,2,5,2,3,"כן, באופן חלקי","כן, לעיתים תכופות","כן, גם מעצמי ומאחרים","כן, לרעה"
6/18/2025 15:33:34,25,אחר \ מעדיפ.ה לא לומר,תואר ראשון,כן,,"מדמ""ח ובלשנות",5,2,3,3,4,3,5,5,5,3,4,"כן, באופן חלקי","כן, לעיתים רחוקות","כן, מאחרים (משפחה, מורים וכו')",אני לא בטוח.ה
6/18/2025 15:34:05,19,זכר,יש בגרות,כן,,פסיכולוגיה וגיאוגרפיה ,5,5,3,4,4,4,4,5,5,4,4,,"כן, לעיתים רחוקות","כן, גם מעצמי ומאחרים","כן, לחיוב"
6/18/2025 15:40:23,22,זכר,יש בגרות,לא,,,5,3,3,2,3,4,4,3,5,4,4,"כן, באופן חלקי","כן, לעיתים תכופות","כן, גם מעצמי ומאחרים","כן, לרעה"
6/18/2025 15:42:14,18,זכר,שליש תואר מדמח ובסוף תיכון,כן,,לומד מדמח,4,4,4,3,4,4,4,4,4,4,4,"כן, באופן חלקי",בכלל לא,"כן, גם מעצמי ומאחרים",אני לא בטוח.ה
6/18/2025 15:45:11,19,זכר,תואר ראשון,כן,,הנדסת נתונים,5,3,4,2,4,2,2,3,4,3,4,לא,"כן, לעיתים רחוקות","כן, מעצמי",לא השפיע
6/18/2025 15:45:35,33,זכר,אין בגרות,לא,,,4,4,3,3,3,4,3,3,4,3,5,"כן, באופן חלקי",בכלל לא,לא מרגיש לחץ משמעותי,לא השפיע
6/18/2025 15:51:19,16,זכר,אין בגרות,כן,,כימיה/פיזיקה,4,5,3,3,1,3,4,5,5,3,5,,"כן, לעיתים רחוקות","כן, מעצמי",אני לא בטוח.ה
6/18/2025 15:52:07,20,זכר,תואר ראשון,כן,,מתמטיקה,5,3,2,3,3,4,3,3,5,3,5,אני לא בטוח.ה,"כן, לעיתים רחוקות","כן, גם מעצמי ומאחרים",אני לא בטוח.ה
6/18/2025 15:53:47,17,זכר,יש בגרות,לא,,,5,4,4,3,4,4,4,4,5,4,4,"כן, היא גורם מרכזי",בכלל לא,"כן, גם מעצמי ומאחרים",אני לא בטוח.ה
6/18/2025 15:55:43,20,זכר,יש בגרות,לא,,,5,4,5,4,5,5,5,5,5,5,4,,"כן, לעיתים תכופות","כן, מעצמי","כן, לרעה"
6/18/2025 15:57:26,28,זכר,תואר ראשון,לא,,,5,3,3,3,2,2,4,4,5,4,4,לא,"כן, לפעמים",לא מרגיש לחץ משמעותי,אני לא בטוח.ה
6/18/2025 15:57:34,18,זכר,השכלה על תיכונית שאינה אקדמאית,לא,,,5,4,4,2,5,4,3,3,5,2,4,לא,בכלל לא,"כן, מעצמי","כן, לחיוב"
6/18/2025 15:58:17,23,זכר,תואר ראשון,כן,,מדעי המחשב ומתמטיקה,4,3,3,2,2,4,3,2,3,1,2,"כן, באופן חלקי","כן, לעיתים תכופות","כן, גם מעצמי ומאחרים",אני לא בטוח.ה
6/18/2025 16:05:38,15,זכר,אין בגרות,כן,,,4,4,4,5,4,3,2,3,4,3,3,"כן, באופן חלקי",בכלל לא,לא מרגיש לחץ משמעותי,"כן, לחיוב"
6/18/2025 16:10:01,22,זכר,תואר ראשון,כן,,חשבונאות ,5,4,3,1,2,5,3,3,4,4,4,לא,"כן, לעיתים רחוקות",לא מרגיש לחץ משמעותי,"כן, לרעה"
6/18/2025 16:19:10,15,זכר,לומד תואר ראשון (כרגע ללא בגרות),כן,,פיזיקה,5,4,1,2,2,4,3,3,5,2,5,"כן, באופן חלקי",בכלל לא,לא מרגיש לחץ משמעותי,"כן, לחיוב"
6/18/2025 16:20:06,18,זכר,יש בגרות,לא,,,5,3,4,3,4,3,3,4,5,3,4,"כן, באופן חלקי","כן, לפעמים","כן, מאחרים (משפחה, מורים וכו')",אני לא בטוח.ה
6/18/2025 16:21:45,20,נקבה,יש בגרות,לא,,,4,3,5,4,4,2,4,3,4,5,4,,"כן, לפעמים","כן, גם מעצמי ומאחרים","כן, לרעה"
6/18/2025 16:30:14,19,זכר,השכלה על תיכונית שאינה אקדמאית,לא,,,5,4,2,2,2,4,3,2,4,2,2,"כן, היא גורם מרכזי","כן, לעיתים תכופות","כן, גם מעצמי ומאחרים","כן, לרעה"
6/18/2025 16:37:52,22,זכר,יש בגרות,לא,,,5,4,5,3,5,5,5,4,5,2,5,אני לא בטוח.ה,"כן, לעיתים רחוקות",לא מרגיש לחץ משמעותי,אני לא בטוח.ה
6/18/2025 16:49:47,25,זכר,תואר ראשון,כן,,,5,4,4,1,5,4,3,3,5,4,2,"כן, היא גורם מרכזי","כן, לעיתים רחוקות","כן, מעצמי",אני לא בטוח.ה
6/18/2025 16:50:49,22,נקבה,באמצע תואר ראשון,כן,,תקשורת חזותית,5,3,2,1,5,5,4,2,5,3,5,אני לא בטוח.ה,"כן, לעיתים תכופות","כן, גם מעצמי ומאחרים","כן, לרעה"
6/18/2025 16:53:55,14,זכר,אין בגרות,כן,,מדעי המחשב,5,4,3,1,4,3,3,3,4,3,3,"כן, היא גורם מרכזי",בכלל לא,"כן, מעצמי",אני לא בטוח.ה
6/18/2025 17:00:53,21,נקבה,תואר ראשון,כן,,פיזיקה מדעי המחשב,4,2,1,3,4,5,3,2,4,3,5,"כן, באופן חלקי","כן, לעיתים רחוקות","כן, מעצמי",אני לא בטוח.ה
6/18/2025 17:04:08,21,זכר,תואר ראשון,כן,,הנדסת תוכנה,5,2,2,3,4,4,3,3,5,2,5,"כן, היא גורם מרכזי","כן, לפעמים","כן, מעצמי","כן, לחיוב"
6/18/2025 17:06:56,24,זכר,אין בגרות,לא,,,5,2,2,4,3,4,1,1,5,2,3,לא,"כן, לעיתים תכופות","כן, גם מעצמי ומאחרים","כן, לרעה"
6/18/2025 17:14:15,23,נקבה,יש בגרות,כן,,צילום,4,4,4,3,3,4,4,4,4,3,3,"כן, באופן חלקי","כן, לעיתים תכופות","כן, מעצמי","כן, לרעה"
6/18/2025 17:15:34,25,זכר,תואר ראשון,כן,,הנדסת תוכנה,4,2,2,2,2,4,2,2,4,3,4,"כן, באופן חלקי","כן, לפעמים","כן, גם מעצמי ומאחרים","כן, לרעה"
6/18/2025 17:21:47,16,זכר,יש בגרות,כן,,ביולגיה/תאטרון ,4,4,4,3,3,3,5,3,3,3,4,"כן, באופן חלקי","כן, לפעמים","כן, מעצמי",אני לא בטוח.ה
6/18/2025 17:26:40,24,נקבה,תואר ראשון,כן,,ניהול מערכות בריאות,5,2,2,4,3,4,2,3,5,2,5,אני לא בטוח.ה,"כן, לעיתים תכופות","כן, מעצמי","כן, לרעה"
6/18/2025 17:27:04,24,זכר,יש בגרות,כן,,מדעי המחשב,5,3,5,2,3,5,5,5,5,5,5,"כן, באופן חלקי",בכלל לא,"כן, מעצמי",אני לא בטוח.ה
6/18/2025 17:36:01,24,זכר,השכלה על תיכונית שאינה אקדמאית,לא,,הנדסאי חשמל,4,3,5,4,1,4,2,3,4,4,5,לא,"כן, לעיתים רחוקות","כן, מעצמי",לא השפיע
6/18/2025 17:41:12,23,זכר,תואר ראשון,כן,,עיצוב אופנה,4,3,2,4,3,5,4,4,5,5,5,"כן, באופן חלקי","כן, לפעמים","כן, גם מעצמי ומאחרים","כן, לרעה"
6/18/2025 17:43:03,27,זכר,תואר שני ומעלה,כן,,מדעי המחשב,4,3,2,2,3,3,3,2,4,2,3,"כן, באופן חלקי","כן, לעיתים רחוקות","כן, מעצמי","כן, לרעה"
6/18/2025 17:58:02,21,זכר,יש בגרות,כן,,פיזיקה,5,2,4,2,3,4,3,2,5,4,5,לא,"כן, לפעמים","כן, מעצמי",אני לא בטוח.ה
6/18/2025 17:58:50,18,זכר,יש בגרות,לא,,,5,4,5,5,3,3,4,5,5,5,5,אני לא בטוח.ה,"כן, לעיתים רחוקות","כן, גם מעצמי ומאחרים","כן, לחיוב"
6/18/2025 18:10:30,18,זכר,תואר ראשון,כן,,מתמטיקה,4,5,3,3,4,5,4,4,5,3,5,"כן, באופן חלקי",בכלל לא,"כן, מאחרים (משפחה, מורים וכו')",לא השפיע
6/18/2025 18:13:48,24,זכר,תואר ראשון,כן,,מדמח,4,5,3,4,4,4,3,3,4,4,5,לא,"כן, לפעמים",לא מרגיש לחץ משמעותי,"כן, לרעה"
6/18/2025 18:20:45,22,זכר,תואר ראשון,לא,,למדתי מדעי המחשב,5,4,5,3,3,4,4,3,4,3,4,"כן, באופן חלקי","כן, לעיתים רחוקות","כן, מעצמי",לא השפיע
6/18/2025 18:24:19,23,זכר,אין בגרות,לא,,,5,2,4,5,5,4,3,3,5,4,4,לא,"כן, לעיתים תכופות",לא מרגיש לחץ משמעותי,"כן, לרעה"
6/18/2025 18:24:44,22,זכר,יש בגרות,כן,,מדעי המחשב חד חוגי,4,4,2,2,3,3,3,3,4,3,5,"כן, באופן חלקי","כן, לעיתים רחוקות","כן, גם מעצמי ומאחרים",אני לא בטוח.ה
6/18/2025 18:25:14,21,זכר,יש בגרות,כן,,ביוכימיה ומדעי המזון ,4,4,2,1,3,4,3,2,5,3,5,"כן, באופן חלקי","כן, לפעמים","כן, מאחרים (משפחה, מורים וכו')","כן, לרעה"
6/18/2025 18:58:04,25,זכר,תואר ראשון,כן,,מדעי המחשב,4,2,2,1,3,3,2,2,4,3,3,"כן, באופן חלקי","כן, לעיתים רחוקות","כן, גם מעצמי ומאחרים","כן, לרעה"
6/18/2025 19:05:57,27,זכר,תואר ראשון,כן,,הנדסה,4,2,4,2,4,4,2,3,4,3,4,"כן, באופן חלקי","כן, לפעמים","כן, מעצמי","כן, לרעה"
6/18/2025 19:27:20,22,זכר,יש בגרות,כן,,מתמטיקה פיזיקה,5,3,1,4,5,4,2,2,5,2,1,לא,"כן, לעיתים תכופות","כן, מעצמי","כן, לרעה"
6/18/2025 19:30:59,21,זכר,יש בגרות,לא,,,4,3,3,2,3,4,3,3,4,4,4,לא,"כן, לפעמים","כן, גם מעצמי ומאחרים","כן, לרעה"
6/18/2025 19:35:23,26,נקבה,השכלה על תיכונית שאינה אקדמאית,לא,,,5,2,3,4,5,5,4,3,4,5,1,"כן, באופן חלקי",בכלל לא,"כן, מעצמי","כן, לרעה"
6/18/2025 19:46:07,19,זכר,תואר ראשון,כן,,מדעי המחשב וכימיה,4,4,2,1,2,4,3,2,3,2,5,"כן, באופן חלקי",בכלל לא,"כן, גם מעצמי ומאחרים",אני לא בטוח.ה
